=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

17:00:59 | 0000 | 17.14s | lr=0.10000000 | loss=0.271249 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:01:21 | 0001 | 17.10s | lr=0.10000000 | loss=0.212608 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:01:38 | 0002 | 17.23s | lr=0.10000000 | loss=0.166675 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:01:56 | 0003 | 17.26s | lr=0.10000000 | loss=0.130569 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:02:14 | 0004 | 17.48s | lr=0.10000000 | loss=0.101923 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:02:32 | 0005 | 17.40s | lr=0.10000000 | loss=0.079838 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:02:54 | 0006 | 17.44s | lr=0.10000000 | loss=0.063774 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:03:12 | 0007 | 17.39s | lr=0.10000000 | loss=0.052972 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:03:30 | 0008 | 17.47s | lr=0.10000000 | loss=0.046387 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:03:48 | 0009 | 17.58s | lr=0.10000000 | loss=0.042876 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:04:06 | 0010 | 17.58s | lr=0.10000000 | loss=0.041427 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:04:29 | 0011 | 17.52s | lr=0.10000000 | loss=0.041262 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:04:47 | 0012 | 17.59s | lr=0.10000000 | loss=0.041816 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:05:05 | 0013 | 17.62s | lr=0.10000000 | loss=0.042676 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:05:23 | 0014 | 17.68s | lr=0.10000000 | loss=0.043536 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:05:41 | 0015 | 17.61s | lr=0.09000000 | loss=0.044174 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:06:04 | 0016 | 17.62s | lr=0.09000000 | loss=0.044397 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:06:22 | 0017 | 17.59s | lr=0.09000000 | loss=0.044209 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:06:40 | 0018 | 17.50s | lr=0.08100000 | loss=0.043653 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:06:58 | 0019 | 17.57s | lr=0.08100000 | loss=0.042876 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:07:16 | 0020 | 17.58s | lr=0.08100000 | loss=0.041884 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:07:38 | 0021 | 17.61s | lr=0.07290000 | loss=0.040760 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:07:57 | 0022 | 17.58s | lr=0.07290000 | loss=0.039680 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:08:15 | 0023 | 17.63s | lr=0.07290000 | loss=0.038566 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:08:33 | 0024 | 17.51s | lr=0.07290000 | loss=0.037465 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:08:51 | 0025 | 17.59s | lr=0.07290000 | loss=0.036418 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:09:13 | 0026 | 17.69s | lr=0.07290000 | loss=0.035456 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:09:31 | 0027 | 17.57s | lr=0.07290000 | loss=0.034599 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:09:49 | 0028 | 17.56s | lr=0.07290000 | loss=0.033860 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
