=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

15:40:26 | 0000 | 17.71s | lr=0.10000000 | loss=0.246968 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:40:48 | 0001 | 17.74s | lr=0.10000000 | loss=0.193400 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:41:06 | 0002 | 17.58s | lr=0.10000000 | loss=0.151264 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:41:25 | 0003 | 17.83s | lr=0.10000000 | loss=0.117751 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:41:43 | 0004 | 17.92s | lr=0.10000000 | loss=0.090849 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:42:01 | 0005 | 17.73s | lr=0.10000000 | loss=0.069941 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:42:24 | 0006 | 18.00s | lr=0.10000000 | loss=0.054627 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:42:43 | 0007 | 17.94s | lr=0.10000000 | loss=0.044217 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:43:01 | 0008 | 17.82s | lr=0.10000000 | loss=0.037730 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:43:20 | 0009 | 17.87s | lr=0.10000000 | loss=0.034117 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:43:38 | 0010 | 17.85s | lr=0.10000000 | loss=0.032477 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:44:01 | 0011 | 17.91s | lr=0.10000000 | loss=0.032126 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:44:19 | 0012 | 17.72s | lr=0.10000000 | loss=0.032554 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:44:37 | 0013 | 17.82s | lr=0.10000000 | loss=0.033362 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:44:56 | 0014 | 17.87s | lr=0.10000000 | loss=0.034234 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:45:14 | 0015 | 17.73s | lr=0.09000000 | loss=0.034929 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:45:37 | 0016 | 17.53s | lr=0.09000000 | loss=0.035237 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:45:55 | 0017 | 17.54s | lr=0.09000000 | loss=0.035165 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:46:13 | 0018 | 17.60s | lr=0.08100000 | loss=0.034750 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:46:31 | 0019 | 17.60s | lr=0.08100000 | loss=0.034114 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:46:49 | 0020 | 17.54s | lr=0.08100000 | loss=0.033270 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:47:11 | 0021 | 17.61s | lr=0.07290000 | loss=0.032286 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:47:30 | 0022 | 17.54s | lr=0.07290000 | loss=0.031319 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:47:48 | 0023 | 17.59s | lr=0.07290000 | loss=0.030303 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:48:06 | 0024 | 17.68s | lr=0.07290000 | loss=0.029283 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:48:24 | 0025 | 17.68s | lr=0.07290000 | loss=0.028299 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:48:47 | 0026 | 17.63s | lr=0.07290000 | loss=0.027385 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:49:05 | 0027 | 17.59s | lr=0.07290000 | loss=0.026564 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:49:23 | 0028 | 17.50s | lr=0.07290000 | loss=0.025849 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
15:49:41 | 0029 | 17.59s | lr=0.07290000 | loss=0.025242 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
